sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images,errors
3514,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 30/60 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4""><span style=""font-weight: bold;""><br/><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">30/60 mm</span>        <span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>8 pces/paquets<br/>448 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",2.7,,,,,"Block after Info Column",product_nbr=léa.a.30.60.5.00.site,1,1,1,1,1,1,0,0,0,8,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
5009,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 20/44 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois CH</font><font size=""4"" style=""font-weight: bold;""><br/></font><font size=""4""><span style=""font-weight: bold;""><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">20/44 mm        </span><span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>10 pces/paquets<br/>880 pces/ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",1.5,,,,,"Block after Info Column",product_nbr=léa.a.20.44.5.00.site,1,1,1,1,1,1,0,0,0,10,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3512,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 25/55 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4""><span style=""font-weight: bold;""><br/><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">25/55 mm</span>        <span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>8 pces/paquets<br/>576 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",2.25,,,,,"Block after Info Column",product_nbr=léa.a.25.50.5.00.site,1,1,1,1,1,1,0,0,0,8,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3513,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 30/30 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4"" style=""font-weight: bold;""><br/></font><font size=""4""><span style=""font-weight: bold;""><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span><span style=""font-style: italic;""> 30/30 mm        </span><span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>9 pces/paquets<br/>891 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",1.55,,,,,"Block after Info Column",product_nbr=léa.a.30.30.5.00.site,1,1,1,1,1,1,0,0,0,9,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3516,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 40/60 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4""><span style=""font-weight: bold;""><br/><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">40/60 mm</span>        <span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>6 pces/paquets<br/>336 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",3.45,,,,,"Block after Info Column",product_nbr=léa.a.40.60.5.00.site,1,1,1,1,1,1,0,0,0,6,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3521,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 5.00 m 60/80 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4"" style=""font-weight: bold;""><br/></font><font size=""4""><span style=""font-weight: bold;""><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">60/80 mm        </span><span style=""text-decoration: underline;"">Longueurs:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;""> 5 m<br/></span></font><font size=""4""><span style=""font-style: italic;""><br/>168 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/><span style=""font-weight: bold;""> </span></div>""",1,"TVA taux normal","Catalogue, recherche",6.65,,,,,"Block after Info Column",product_nbr=léar.60.80.site,1,1,1,1,1,1,0,0,0,4,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
4995,,Default,simple,,"prof,priv","Lambourdes épicéa aboutées rabotées 40/80 mm","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Lambourdes épicéa/sapin aboutées&#44;</font><br/></span><font size=""4"">rabotées 4 faces&#44; bois Suisse.</font><font size=""4""><span style=""font-weight: bold;""><br/><br style=""text-decoration: underline;""/></span><span style=""text-decoration: underline;"">Sections:</span> <span style=""font-style: italic;"">40/80 mm</span>        <span style=""text-decoration: underline;"">Longueur:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">5 m<br/><br/>4 pces/paquets<br/>240 pces / ballot<br/><br/></span></font><font size=""4""><span style=""font-weight: bold;"">Rabais dès 1000 ml : 10%</span></font><br type=""_moz""/></div>""",1,"TVA taux normal","Catalogue, recherche",4.7,,,,,"Block after Info Column",product_nbr=lsar.40.80.5.00sc.site,1,1,1,1,1,1,0,0,0,4,0,1,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3435,,Default,simple,,"priv,prof","Duo épicéa visible","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Carrelets épicéa 2-plis DUO</font><br/></span><font size=""4"">qualité visible (SI)&#44; </font><font size=""3""><font size=""4"">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés 15%+/-3%</font><br/><br/><font size=""4""><span style=""text-decoration: underline;"">Sections :</span> <span style=""font-style: italic;"">10/14; 10/16; 10/18; 10/20; 12/18; <br/>                12/20; 12/24; 14/14; 14/20; 16/16;<br/>                16/20; 16/24 cm</span><br/><br/><span style=""text-decoration: underline;"">Longueur :</span> </font><span style=""font-style: italic;""><font size=""4"">13.00m</font></span></font><font size=""3""><font size=""4""><br/><font size=""3""><span style=""font-style: italic;""><br/><span style=""font-weight: bold;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes !<br/><br/>Sur liste : + 22Fr/m3 si (- de 3m3)  /  + 13Fr/m3 si (+ de 3m3)<br/><br/></span></span></font><font size=""3""><font size=""4""><span style=""text-decoration: underline;"">Longueurs:</span></font><span style=""font-style: italic;""><font size=""4""> sur liste&#44; max 13.50m. <br/><br/>De 13.60m à 16.00m : supplément forfaitaire de 360.- Fr</font></span></font><br/></font></font></div>""",1,"TVA taux normal","Catalogue, recherche",900,,,,,"Block after Info Column",product_nbr=dév.site,1,1,1,1,1,1,0,0,1,1,1,0,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3970,,Default,simple,,"priv,prof","Charpente sapin antique","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;""><font size=""4"" style=""font-weight: bold;"">Charpente épicéa antique<br/></font><font size=""4"">Vapo traité</font><font size=""4"" style=""font-weight: bold;""><br/><br/></font><font size=""4""><span style=""text-decoration: underline;"">Sections:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;""><br/>                25/50 - 30/30cm<br/><br/></span><span style=""text-decoration: underline;"">Longueurs:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">9.00m<br/><br/></span><font size=""3"" style=""font-weight: bold;"">Sur liste&#44; sur demande</font><span style=""font-style: italic;""><br type=""_moz""/></span></font> </div>""",1,"TVA taux normal","Catalogue, recherche",1250,,,,,"Block after Info Column",product_nbr=csa.12.18.9.50.site,1,1,1,1,1,1,0,0,1,1,1,0,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
3436,,Default,simple,,"priv,prof","Duo mélèze visible","<div style=min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><font size=""4"">Carrelets mélèze 2-plis DUO</font><br/></span><font size=""4"">qualité visible&#44; </font><font size=""4"">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés 15% +/- 3%</font><font size=""3""><br/><br/><font size=""4""><span style=""text-decoration: underline;"">Sections:</span><span style=""font-weight: bold;""> </span><span style=""font-style: italic;"">10/10; 10/16; 10/20; 12/18; 12/22; 14/14; 16/22; 6/20 cm<br/></span></font></font><font size=""4""><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Longueur:</span> <span style=""font-style: italic;"">13 m</span><br/><br/></font><font size=""4""/><font size=""3""><font size=""4""><span style=""font-style: italic;""><br/></span></font></font><font size=""3""><span style=""font-style: italic;""><span style=""font-weight: bold;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes !</span></span></font><br/></div>""",1,"TVA taux normal","Catalogue, recherche",1900,,,,,"Block after Info Column",product_nbr=dmv.site,1,1,1,1,1,1,0,0,1,1,1,0,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin"
