sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
4530,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (140/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 140mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 4.44 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",17.75,,,,,Block after Info Column,product_nbr=ikti135 u.140.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4532,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (180/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 180mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 4.20 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",21.25,,,,,Block after Info Column,product_nbr=ikti135 u.180.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4534,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (220/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 220mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 3.96 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",26.2,,,,,Block after Info Column,product_nbr=ikti135 u.220.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4528,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (100/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 100mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 7.56 m2<br/><br/><span style=""font-weight: bold;"">Rabais sur demande </span><br/></font><br/></div>",1,TVA taux normal,"Catalog, Search",12.4,,,,,Block after Info Column,product_nbr=ikti135 u.100.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
5005,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (260/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV</font><font size=""3""><br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 260mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 3.00 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br/><br/></div>",1,TVA taux normal,"Catalog, Search",30.5,,,,,Block after Info Column,product_nbr=ikti135 u.260.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4531,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (160/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 160mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 3.96 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",19.15,,,,,Block after Info Column,product_nbr=ikti135 u.160.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4533,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (200/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 200mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 3.84 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",23.05,,,,,Block after Info Column,product_nbr=ikti135 u.200.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4529,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (120/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 120mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span>: 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 6.36 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",15.1,,,,,Block after Info Column,product_nbr=ikti135 u.120.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
5449,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (300/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/></font><font size=""3""><span style=""text-decoration: underline;"">Epaisseur</span> : 300mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 2.88 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br/><br/></div>",1,TVA taux normal,"Catalog, Search",41.65,,,,,Block after Info Column,product_nbr=ikti135 u.300.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
5450,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (280/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/></font><font size=""3""><span style=""text-decoration: underline;"">Epaisseur</span> : 280mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 2.88 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br/><font size=""3""><br/></font><br/></div>",1,TVA taux normal,"Catalog, Search",39.25,,,,,Block after Info Column,product_nbr=ikti135 u.280.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4527,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (80/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 80mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 7.56 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",10.25,,,,,Block after Info Column,product_nbr=ikti135 u.80.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
4535,,Default,simple,,"prof,priv",Isolation Knauf Laine de verre (240/1200),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><font size=""4""><span style=""font-weight: bold;"">Isolation Knauf Laine de verre</span></font><span style=""font-weight: bold;""><font size=""4""> 20kg/m3<br/></font></span><font size=""3"">rouleau TI 135 U sans PV<br/><br/><span style=""text-decoration: underline;"">Epaisseur</span> : 240mm<br/><br/><span style=""text-decoration: underline;"">Largeur</span> : 1200 mm<br/><br style=""text-decoration: underline;""/><span style=""text-decoration: underline;"">Quantité par paquet </span>: 3.60 m2<br/><br/></font><font size=""3""><span style=""font-weight: bold;"">Rabais sur demande </span></font><br type=""_moz""/></div>",1,TVA taux normal,"Catalog, Search",28.15,,,,,Block after Info Column,product_nbr=ikti135 u.240.1200.site,1,1,1,1,1,1,0,0,1,1,1,0,,
