sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"5449","All Websites [CHF]","8.0","1","27.07"
"4531","All Websites [CHF]","8.0","1","12.45"
"4534","All Websites [CHF]","8.0","1","17.03"
"4527","All Websites [CHF]","8.0","1","6.66"
"4530","All Websites [CHF]","8.0","1","11.54"
"4532","All Websites [CHF]","8.0","1","13.81"
"5005","All Websites [CHF]","8.0","1","19.83"
"4528","All Websites [CHF]","8.0","1","8.06"
"4533","All Websites [CHF]","8.0","1","14.98"
"5450","All Websites [CHF]","8.0","1","25.51"
"4529","All Websites [CHF]","8.0","1","9.82"
"4535","All Websites [CHF]","8.0","1","18.3"
