sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"1745",,"Default","simple","rcat_fr/Menuiserie et Avivés/Menuiserie feuillus/Merisier européen","prof","Menuiserie merisier I/II","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><font size="4"><span style="font-weight: bold;">Menuiserie merisier I/II<br/></span></font><font size="4"><font size="4"><span style="font-weight: bold;"><br/></span><font size="3"><span style="text-decoration: underline;">Epaisseurs:</span> <span style="font-style: italic;">30-36-45-50-65 mm</span><br style="text-decoration: underline;"/></font></font></font><font size="3"><br/>Veuillez insérer l'épaisseur et le nombre de mètre cube désiré.<br/><br/>Nous vous confirmerons les largeurs et les longueurs disponibles.</font><font size="4"><font size="4"><font size="4"/><span style="font-weight: bold;"><br type="_moz"/></span></font></font></div>","1","TVA taux normal","Catalog, Search","3250","/menuiserie_et_avives/menuiserie_feuillus/merisier_europeen/menuiserie_merisier.jpg","/menuiserie_et_avives/menuiserie_feuillus/merisier_europeen/menuiserie_merisier.jpg","/menuiserie_et_avives/menuiserie_feuillus/merisier_europeen/menuiserie_merisier.jpg","/menuiserie_et_avives/menuiserie_feuillus/merisier_europeen/menuiserie_merisier.jpg","Block after Info Column","product_nbr=mme.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/menuiserie_et_avives/menuiserie_feuillus/merisier_europeen/menuiserie_merisier.jpg"
"5018",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleider décor bois No 55008 RU sapin ant 16mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No 55008 RU sapin antique<br/><br/></font></font><font size="4"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">16 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'800 x 2'100 mm</font><br/></span></font><font size="4"><br/></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><br type="_moz"/></div>","1","TVA taux normal","Catalog, Search","22.15","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","Block after Info Column","product_nbr=pmwdsa.16.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg"
"5019",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleider décor bois No 55008 RU sapin ant 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No 55008 RU sapin antique<br/><br/></font></font><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">19 mm<br/></span><br style="text-decoration: underline;"/></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'800 x 2'100 mm</font><br/></span></font><font size="4"><br/></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><font size="4"><span style="font-weight: bold;"></span></font><br type="_moz"/></font></div>","1","TVA taux normal","Catalog, Search","23.6","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","Block after Info Column","product_nbr=pmwdsa.19.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg"
"5020",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleider décor bois No 55008 RU sapin ant 8mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No 55008 RU sapin antique<br/><br/></font></font><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">8 mm<br/></span><br style="text-decoration: underline;"/></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'800 x 2'100 mm</font><br/></span></font><font size="4"><br/></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><span style="font-weight: bold;"></span><span style="font-style: italic;"><br type="_moz"/></span></font></div>","1","TVA taux normal","Catalog, Search","20.6","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg","Block after Info Column","product_nbr=pmwdsa.8.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_sapin_antique.jpg"
"5166",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleidere décor bois No R 4262 RU chêne ant 8mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No R 4262 RU chêne antique </font><br/></font><font size="4"><font size="3"><br/></font></font><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">8 mm<br/><br/></span></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'800 x 2'100 mm</font><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><span style="font-weight: bold;"></span></font><font size="4"><br type="_moz"/><br _moz_editor_bogus_node="TRUE"/></font></div>","1","TVA taux normal","Catalog, Search","20.6","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","Block after Info Column","product_nbr=pmwdca.8.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg"
"5165",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleider décor bois No R 4262 RU chêne ant 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No R 4262 RU chêne antique </font><br/></font><font size="4"><font size="3"><br/></font></font><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">19 mm<br/></span><br style="text-decoration: underline;"/></font><font size="3"><span style="text-decoration: underline;">Dimensions:</span> <span style="font-style: italic;">2'800 x 2'100 mm<br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><font size="4"><span style="font-weight: bold;"></span></font><br type="_moz"/></font></div>","1","TVA taux normal","Catalog, Search","23.6","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","Block after Info Column","product_nbr=pmwdca.19.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg"
"5167",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleiderer décor bois  R 4262 RU chêne ant 16mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No R 4262 RU chêne antique </font><br/></font><font size="4"><font size="3"><br/></font></font><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">16 mm<br/></span><br style="text-decoration: underline;"/></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'800 x 2'100 mm</font><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><span style="font-weight: bold;"></span></font><font size="4"><br type="_moz"/><br _moz_editor_bogus_node="TRUE"/></font></div>","1","TVA taux normal","Catalog, Search","22.15","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg","Block after Info Column","product_nbr=pmwdca.16.2800.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene_antique_juste.jpg"
"3667",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleiderer décor bois No R 5352 TR cerisier 8mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No R 5352 TR cerisier</font></font><font size="3"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">8 mm<br/></span><br style="text-decoration: underline;"/></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'655 x 2'100 mm</font><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><br type="_moz"/></font></div>","1","TVA taux normal","Catalog, Search","20","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","Block after Info Column","product_nbr=pmwdbce.8.2655.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg"
"3666",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleidere décor bois No R 5352 TR cerisier 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pleiderer<br/></span><font size="3">Décor bois No R 5352 TR cerisier</font></font><font size="3"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">19 mm<br/><br/></span></font><font size="4"><font size="3"><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'655 x 2'100 mm</font><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><font size="4"><br/></font></div>","1","TVA taux normal","Catalog, Search","22.9","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg","Block after Info Column","product_nbr=pmwdbce.19.2655.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_pfl_cerisier.jpg"
"3660",,"Default","simple","rcat_fr/Panneaux/Mélaminé-rénolack/Pfleiderer du stock","prof","Px mélaminés Pfleiderer décor bois No R 4373 TR chêne 19mm","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: 12pt; font-family: Arial; font-weight: normal;"><font size="4"><span style="font-weight: bold;">Panneaux mélaminés Pfleiderer<br/></span><font size="3">Décor bois No R 4373 TR chêne</font></font><font size="4"><font size="3"><br/><br/><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">19 mm<br/></span><br style="text-decoration: underline;"/><span style="text-decoration: underline;">Dimensions:</span> </font><span style="font-style: italic;"><font size="3">2'655 x 2'100 mm</font><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 20% par 24 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","22.9","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene.jpg","/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene.jpg","Block after Info Column","product_nbr=pmwc.19.2655.2100.site","1","1","1","1","1","1","0","0","1","1","1","0",,"/panneaux/melamine-renolack/wodego_du_stock/panneau_melamine_chene.jpg"
