sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"6338",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotée A/B 20/44 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">44 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>10 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","1.5","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.20.44.5.00sc.site","1","1","1","1","1","1","0","0","0","10","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6327",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 20/60 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">20 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>10 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","2.05","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.20.60.5.00sc.site","1","1","1","1","1","1","0","0","0","10","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6328",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 25/55 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">25 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">55 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>8 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","2.25","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.25.55.5.00sc.site","1","1","1","1","1","1","0","0","0","8","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6329",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 30/30 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">30 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">30 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>9 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/><br/></div>","1","TVA taux normal","Catalog, Search","1.55","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.30.30.5.00sc.site","1","1","1","1","1","1","0","0","0","9","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6330",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 30/60 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">30 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>8 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","2.7","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.30.60.5.00sc.site","1","1","1","1","1","1","0","0","0","8","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6331",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 40/40 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">40 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">40 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>4 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","2.75","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.40.40.5.00sc.site","1","1","1","1","1","1","0","0","0","4","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6332",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 40/60 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">40 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>6 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","3.45","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.40.60.5.00sc.site","1","1","1","1","1","1","0","0","0","6","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6333",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 40/80 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">40 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">80 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>4 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","4.7","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.40.80.5.00sc.site","1","1","1","1","1","1","0","0","0","4","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6334",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 50/60 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">50 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>4 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","4.5","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.50.60.5.00sc.site","1","1","1","1","1","1","0","0","0","4","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
"6336",,"Default","simple","rcat_fr/Charpente et collés/Lambourdes-carrelets/Lambourdes aboutées","prof","Lambourdes épicéa aboutées rabotées A/B 60/60 (Sc-raboterie)","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Lambourdes épicéa/sapin CH A/B</font><br/></span><font size="3">Aboutées&#44; rabotées 4 faces<br/><br/></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Epaisseur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Largeur:</span> <span style="font-style: italic;">60 mm<br/><br style="text-decoration: underline;"/></span></font></font></font></font><font size="2"><font size="2"><font size="3"><font size="3"><span style="text-decoration: underline;">Longueur:</span> <span style="font-style: italic;">5 m<br/><br/></span>4 pièces par paquet</font></font></font></font><font size="4"><span style="font-style: italic;"><br/><br/></span></font><font size="4"><span style="font-weight: bold;">Rabais de 10% dès 200 pièces</span></font><br/></div>","1","TVA taux normal","Catalog, Search","5.2","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg","Block after Info Column","product_nbr=lsar.60.60.5.00sc.site","1","1","1","1","1","1","0","0","0","4","0","1",,"/charpente_et_colles/lambourdes-carrelets/lambourdes/lambourdes_rabotees_aboutees.jpeg"
